名称,英文ID,类别,描述
源矿,Originium Ore,Mineral Ore,工业生产活动所必需的基础型矿物。
紫晶矿,Amethyst Ore,Mineral Ore,内蕴紫色晶体的岩石，可在工业系统中进行加工。
蓝铁矿,Ferrium Ore,Mineral Ore,一种天然存在的蓝色合金，可在工业系统中进行加工。
赤铜矿,Cuprium Ore,Mineral Ore,一种红色金属，可在工业系统中进行加工。
清水,Clean Water,Natural Liquid,干净的清水，在工业系统中有丰富的使用场景。
沉积酸,Precipitation Acid,Natural Liquid,沉积酸可溶解部分难以溶解的材料，在工业系统中有丰富的使用场景。
荞花,Buckflower,Plant,可在野外采集或在工厂培育出的艳丽花朵，粉碎后可用于药品或其他材料合成。
柑实,Citrome,Plant,可在野外采集或在工厂培育出的果实，粉碎后可用于食品或其他材料合成。
酮化灌木,Aketine,Plant,可在野外采集或在工厂培育出的植物，内含易燃易爆成分，常用于制造工业爆炸物。
砂叶,Sandleaf,Plant,可在野外采集或在工厂培育出的叶片粗粝的植物，粉碎后可用于精细研磨。
锦草,Jincao,Plant,可在野外采集或在工厂培育出的植物，粉碎后可用于食品或其他材料合成。
芽针,Yazhen,Plant,可在野外采集或在工厂培育出的花朵，粉碎后可用于药品或其他材料合成。
