物品名称,英文ID,合成设备,原料需求,消耗时常/秒,合成数量,描述
晶体外壳,Origocrust,精炼炉,源矿*1/晶体外壳粉末*1,2,1,源石加工时剥离的外壳部分，可用于其他材料合成。
蓝铁块,Ferrium,精炼炉,蓝铁矿*1,2,1,由蓝铁矿石精炼得来的金属块，可用于其他材料合成。
紫晶纤维,Amethyst Fiber,精炼炉,紫晶矿*1,2,1,由紫晶矿精炼得来的纤维，可用于其他材料合成。
密制晶体,Packed Origocrust,精炼炉,致密晶体粉末*1,2,1,致密晶体粉末精炼融合后的高级材料，可用于其他材料合成。
钢块,Steel,精炼炉,致密蓝铁粉末*1,2,1,致密蓝铁粉末精炼融合后的高级材料，可用于其他材料合成。
高晶纤维,Cryston Fiber,精炼炉,高晶粉末*1,2,1,高晶粉末精炼融合后的高级材料，可用于其他材料合成。
稳定碳块,Stabilized Carbon,精炼炉,致密碳粉末*1,2,1,致密碳粉末精炼融合后的高级材料，可用于其他材料合成。
致密晶体粉末,Dense Origocrust Powder,精炼炉,致密源石粉末*1,2,1,晶体外壳粉末研磨后的细粉，可用于其他材料合成。
碳块,Carbon,精炼炉,（任意Plant类别的物品）*1,2,1,植物烧制的碳材料，可用于其他材料合成。
赤铜块+污水,Cuprium,精炼炉,赤铜矿*1+清水*1,2,1,由赤铜矿石精炼得来的金属块，可用于其他材料合成。
赤铜粉末,Cuprium Powder,粉碎机,赤铜块*1,2,1,赤铜块粉碎后的粉末，可用于其他材料合成。
蓝铁粉末,Ferrium Powder,粉碎机,蓝铁块*1,2,1,蓝铁块粉碎后的粉末，可用于其他材料合成。
紫晶粉末,Amethyst Powder,粉碎机,紫晶纤维*1,2,1,紫晶纤维粉碎后的粉末，可用于其他材料合成。
源石粉末,Originium Powder,粉碎机,源矿*1,2,1,稳定的源石粉末，可用于其他材料合成。
碳粉末,Carbon Powder,粉碎机,碳块*1,2,2,碳材料的粉末，可用于其他材料合成。
晶体外壳粉末,Origocrust Powder,粉碎机,晶体外壳*1,2,1,晶体外壳的粉末，可用于其他材料合成。
荞花粉末,Buckflower Powder,粉碎机,荞花*1,2,2,使用后可以回复干员生命值的战术物品
柑实粉末,Citrome Powder,粉碎机,柑实*1,2,2,使用后可以回复干员生命值的战术物品
酮化灌木粉末,Aketine Powder,粉碎机,酮化灌木*1,2,2,酮化灌木粉末，可用于其他材料合成。
砂叶粉末,Sandleaf Powder,粉碎机,砂叶*1,2,3,砂叶粉末，可用于其他材料合成。
锦草粉末,Jincao Powder,粉碎机,锦草*1,2,2,使用后可以回复干员生命值的战术物品。
芽针粉末,Yazhen Powder,粉碎机,芽针*1,2,2,使用后可以回复干员生命值的战术物品。
铁制零件,Ferrium Part,配件机,蓝铁块*1,2,1,蓝铁经加工后成型的零件，可用于其他材料合成或设备制造。
紫晶零件,Amethyst Part,配件机,紫晶纤维*1,2,1,具备一定通用性的紫晶零件。
钢制零件,Steel Part,配件机,钢块*1,2,1,钢块经加工后成型的零件，可用于其他材料合成或设备制造。
高晶零件,Cryston Part,配件机,高晶纤维*1,2,1,高晶纤维经加工后成型的零件，可用于其他材料合成或设备制造。
赤铜零件,Cuprium Part,配件机,赤铜块*1,2,1,赤铜块经加工后成型的零件，可用于其他材料合成或设备制造。
赫铜零件,Hetonite Part,配件机,赫铜块*5,10,1,
蓝铁甁,Ferrium Bottle,塑性机,蓝铁块*2,2,1,由蓝铁块加工后得来的金属瓶，可用于其他材料合成。
紫晶质瓶,Amethyst Bottle,塑性机,紫晶纤维*2,2,1,由紫晶纤维加工得来的瓶子，可用于其他材料合成。
钢质瓶,Steel Bottle,塑性机,钢块*2,2,1,由钢块加工后得来的金属瓶，可用于其他材料合成。
高晶质瓶,Cryston Bottle,塑性机,高晶纤维*2,2,1,由高晶纤维加工后得来的金属瓶，可用于其他材料合成。
赤铜瓶,Cuprium Bottle,塑性机,赤铜块*2,2,1,由赤铜块加工后得来的金属瓶，可用于其他材料合成。常用于液体盛装。
赫铜瓶,Hetonite Bottle,塑性机,赫铜块*2,2,1,由赫铜块加工后得来的金属瓶，可用于其他材料合成。
荞花种子,Buckflower seed,采种机,荞花*1,2,2,荞花的种子，可用于培育荞花。
柑实种子,Citrome seed,采种机,柑实*1,2,2,柑实的种子，可用于培育柑实。
酮化树种,Aketine seed,采种机,酮化灌木*1,2,2,酮化灌木的种子，可用于培育酮化灌木。
砂叶种子,Sandleaf seed,采种机,砂叶*1,2,2,砂叶的种子，可用于培育砂叶。
锦草种子,Jincao seed,采种机,锦草*1,2,2,锦草的种子，通过采种获得，可辅以大量清水培育锦草。
芽针种子,Yazhen seed,采种机,芽针*1,2,2,芽针的种子，通过采种获得，可辅以大量清水培育芽针。
荞花,Buckflower,种植机,荞花种子*1,2,1,可在野外采集或在工厂培育出的艳丽花朵，粉碎后可用于药品或其他材料合成。
柑实,Citrome,种植机,柑实种子*1,2,1,可在野外采集或在工厂培育出的果实，粉碎后可用于食品或其他材料合成。
酮化灌木,Aketine,种植机,酮化树种*1,2,1,可在野外采集或在工厂培育出的植物，内含易燃易爆成分，常用于制造工业爆炸物。
砂叶,Sandleaf,种植机,砂叶种子*1,2,1,可在野外采集或在工厂培育出的叶片粗粝的植物，粉碎后可用于精细研磨。
锦草,Jincao,种植机,锦草种子*1+清水*1,2,2,可在野外采集或在工厂培育出的植物，粉碎后可用于食品或其他材料合成。
芽针,Yazhen,种植机,芽针种子*1+清水*1,2,2,可在野外采集或在工厂培育出的花朵，粉碎后可用于药品或其他材料合成。
紫晶装备原件,Amethyst Component,装备原型机,晶体外壳*5+紫晶纤维*5,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
蓝铁装备原件,Ferrium Component,装备原型机,晶体外壳*10+蓝铁块*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
高晶装备原件,Cryston Component,装备原型机,密制晶体*10、高晶纤维*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
息壤装备原件,Xiranite Component,装备原型机,密制晶体*10+息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
赤铜装备原件,Cuprium Component,装备原型机,赤铜零件*10+息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
赫铜装备原件,Hetonite Component,装备原型机,赫铜零件*2+重息壤*10,10,1,通过多种材料加工获得的装备原件，可用于装备制造。
柑实罐头,Canned Citrome (C),灌装机,紫晶质瓶*5+柑实粉末*5,10,1,平价的柑实罐头，是居于荒地的人们最易保存的维生素补充品。
优质柑实罐头,Canned Citrome (B),灌装机,蓝铁瓶*10+柑实粉末*10,10,1,革新了包装工艺的柑实罐头，最近因含糖量过高而受到文明环带市场的抵制。
精选柑实罐头,Canned Citrome (A),灌装机,钢质瓶*10+细磨柑实粉末*10,10,1,以天然、健康及种植环境为卖点的柑实罐头，内部添加了微量综合维生素，建议零售价格稍显虚高
荞愈胶囊,Buck Capsule (C),灌装机,紫晶质瓶*5+荞花粉末*5,10,1,制作手段简单的胶囊，外出颠簸中或许会撒漏药粉导致药效降低。
优质荞愈胶囊,Buck Capsule (B),灌装机,蓝铁瓶*10+荞花粉末*10,10,1,标准封装的胶囊，终末地工业曾为它进行过广告宣传，但可惜的是，其销量远不及罗德岛的同类产品。
精选荞愈胶囊,Buck Capsule (A),灌装机,钢质瓶*10+细磨荞花粉末*10,10,1,优化了封装工艺的胶囊，终末地工业兼顾了本产品在各种作战条件下的使用便利性。
蓝铁瓶（清水）,Ferrium Bottle（Clean Water）,灌装机,蓝铁瓶*1+清水*1,2,1,
蓝铁瓶（棉草溶液）,Ferrium Bottle（Jincao Solution）,灌装机,蓝铁瓶*1+棉草溶液*1,2,1,
蓝铁瓶（芽针溶液）,Ferrium Bottle（Yazhen Solution）,灌装机,蓝铁瓶*1+芽针溶液*1,2,1,
蓝铁瓶（液化息壤）,Ferrium Bottle（Liquid Xiranite）,灌装机,蓝铁瓶*1+液化息壤*1,2,1,
赤铜瓶（棉草溶液）,Cuprium Bottle（Jincao Solution）,灌装机,赤铜瓶*1+棉草溶液*1,2,1,
赤铜瓶（芽针溶液）,Hetonite Bottle（Yazhen Solution）,灌装机,赤铜瓶*1+芽针溶液*1,2,1,
工业爆炸物,Industrial Explosive,封装机,紫晶零件*5+酮化灌木粉末*1,10,1,可直接使用进行攻击，爆炸时对周围所有敌人造成伤害。
低容谷底电池,LC Valley Battery,封装机,紫晶零件*5+源石粉末*10,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。
中容谷底电池,SC Valley Battery,封装机,铁制零件*10+源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。
高容谷底电池,HC Valley Battery,封装机,钢制零件*10+致密源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。
芽针针剂,Yazhen Syringe (C),封装机,铁制零件*10+蓝铁瓶（芽针溶液）*5,10,1,本针剂仅可使用皮下注射。
优质芽针针剂,Yazhen Syringe (A),封装机,赤铜零件*10+赤铜瓶（芽针溶液）*5,10,1,"终末地工业曾试图研发一种""协议注射""技术，但该页目最终遭到了废止。他们尚未拥有推开那扇大门的勇气。"
棉草软饮,Jincao Drink,封装机,铁制零件*10+蓝铁瓶（棉草软饮）*5,10,1,仅含少量锦草提取物的碳酸饮料，因其清香的气味而备受欢迎。
优质棉草软饮,Jincao Tea,封装机,赤铜零件*10+赤铜瓶（棉草溶液）*5,10,1,以锦草为原料制作的碳酸饮料，其调制过程颇合药理之道。
低容武陵电池,LC Wuling Battery,封装机,息壤*5+致密源石粉末*15,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。
中容武陵电池,SC Wuling Battery,封装机,壤晶*5+致密源石粉末*20,10,1,通过设备封装获得的电池，可用于发电、设备充能或与据点进行交易。
致密蓝铁粉末,Dense Ferrium Powder,研磨机,蓝铁粉末*2+砂叶粉末*1,2,1,蓝铁粉末研磨后的细粉，可用于其他材料合成。
高晶粉末,Cryston Powder,研磨机,紫晶粉末*2+砂叶粉末*1,2,1,紫晶粉末研磨后的细粉，可用于其他材料合成。
致密源石粉末,Dense Originium Powder,研磨机,源石粉末*2+砂叶粉末*1,2,1,源矿粉末研磨后的细粉，状态稳定，可用于其他材料合成。
致密碳粉末,Dense Carbon Powder,研磨机,碳粉末*2+砂叶粉末*1,2,1,碳粉末研磨后的细粉，可用于其他材料合成。
致密晶体粉末,Dense Origocrust Powder,研磨机,晶体外壳粉末*2+砂叶粉末*1,2,1,晶体外壳粉末研磨后的细粉，可用于其他材料合成。
细磨荞花粉末,Ground Buckflower Powder,研磨机,荞花粉末*2+砂叶粉末*1,2,1,荞花粉末研磨后的细粉，可用于其他材料合成。
细磨柑实粉末,Ground Citrome Powder,研磨机,柑实粉末*2+砂叶粉末*1,2,1,柑实粉末研磨后的细粉，可用于其他材料合成。
棉草溶液,Jincao Solution,反应池,棉草粉末*1+清水*1,2,1,锦草的溶液，经过后续加工合成后，可制成药剂以供使用。
芽针溶液,Yazhen Solution,反应池,芽针粉末*1+清水*1,2,1,芽针的溶液，经过后续加工合成后，可制成药剂以供使用。
液化息壤,Liquid Xiranite,反应池,息壤*1+清水*1,2,1,溶解在清水中的息壤，可用于其他材料合成。常用于灌装后通过射流无人机消除武陵地区的动态侵蚀。
